item-name,item-label,img-label,img-url
MS-GG-00001-00001,MS Gg.1.1,cover,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00001.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,cover (inside),https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00002.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,i(r),https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00003.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,i(v),https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00004.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,ii(r),https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00005.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,ii(v),https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00006.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,1r,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00007.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,1v,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00008.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,2r,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00009.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,2v,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00010.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,3r,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00011.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,3v,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00012.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,4r,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00013.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,4v,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00014.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,5r,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00015.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,5v,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00016.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,6r,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00017.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,6v,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00018.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,7r,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00019.jp2/full/max/0/default.jpg
MS-GG-00001-00001,MS Gg.1.1,7v,https://images.lib.cam.ac.uk/iiif/MS-GG-00001-00001-000-00020.jp2/full/max/0/default.jpg
