item-name,item-label,img-label,img-url
MS-NN-00003-00074,MS Nn.3.74,cover,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00001.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,cover (inside),https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00002.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,1r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00003.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,1v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00004.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,2r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00005.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,2v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00006.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,3r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00007.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,3v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00008.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,4r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00009.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,4v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00010.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,5r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00011.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,5v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00012.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,6r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00013.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,6v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00014.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,7r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00015.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,7v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00016.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,8r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00017.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,8v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00018.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,9r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00019.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,9v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00020.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,10r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00021.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,10v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00022.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,11r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00023.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,11v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00024.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,12r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00025.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,12v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00026.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,13r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00027.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,13v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00028.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,14r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00029.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,14v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00030.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,15r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00031.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,15v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00032.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,16r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00033.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,16v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00034.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,17r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00035.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,17v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00036.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,18r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00037.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,18v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00038.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,19r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00039.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,19v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00040.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,20r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00041.jp2/full/max/0/default.jpg
