item-name,item-label,img-label,img-url
MS-RAS-00258,RAS Persian 258,cover,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00001.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,cover (inside),https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00002.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,I,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00003.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,ii,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00004.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,iii,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00005.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,iv,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00006.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,1r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00007.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,1v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00008.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,2r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00009.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,2v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00010.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,3r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00011.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,3v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00012.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,4r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00013.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,4v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00014.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,5r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00015.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,5v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00016.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,6r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00017.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,6v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00018.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,7r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00019.jp2/full/max/0/default.jpg
